2026-08-11 16:13:55,698 [INFO] __main__: [446/1439] 301326.SZ: fetched=31, saved=30, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:13:57,721 [INFO] __main__: [447/1439] 301327.SZ: fetched=223, saved=223, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:13:58,662 [INFO] __main__: [448/1439] 301328.SZ: fetched=284, saved=284, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:13:59,169 [INFO] __main__: [449/1439] 301329.SZ: fetched=140, saved=139, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:13:59,169 [INFO] __main__:   [限速] 已达 90 次/分钟上限，暂停 5s
2026-08-11 16:14:04,717 [INFO] __main__: [450/1439] 301330.SZ: fetched=169, saved=166, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:14:04,855 [INFO] __main__: [451/1439] 301332.SZ: fetched=109, saved=51, filtered=58, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:05,756 [INFO] __main__: [452/1439] 301337.SZ: fetched=274, saved=272, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:06,778 [INFO] __main__: [453/1439] 301338.SZ: fetched=382, saved=309, filtered=70, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:14:07,261 [INFO] __main__: [454/1439] 301339.SZ: fetched=142, saved=141, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:14:07,431 [INFO] __main__: [455/1439] 301345.SZ: fetched=246, saved=245, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:08,254 [INFO] __main__: [456/1439] 301348.SZ: fetched=187, saved=183, filtered=2, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:08,709 [INFO] __main__: [457/1439] 301349.SZ: fetched=112, saved=111, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:08,769 [INFO] __main__: [458/1439] 301353.SZ: fetched=9, saved=9, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:09,184 [INFO] __main__: [459/1439] 301357.SZ: fetched=136, saved=131, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:09,308 [INFO] __main__: [460/1439] 301358.SZ: fetched=121, saved=119, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:10,800 [INFO] __main__: [461/1439] 301360.SZ: fetched=190, saved=188, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:11,706 [INFO] __main__: [462/1439] 301361.SZ: fetched=195, saved=195, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:12,903 [INFO] __main__: [463/1439] 301363.SZ: fetched=208, saved=183, filtered=24, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:14,659 [INFO] __main__: [464/1439] 301366.SZ: fetched=247, saved=245, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:15,101 [INFO] __main__: [465/1439] 301367.SZ: fetched=76, saved=76, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:15,851 [INFO] __main__: [466/1439] 301368.SZ: fetched=127, saved=124, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:18,374 [INFO] __main__: [467/1439] 301369.SZ: fetched=62, saved=61, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
