2026-08-11 16:21:54,545 [INFO] __main__: [325/795] 603638.SH: fetched=42, saved=36, filtered=6, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:55,162 [INFO] __main__: [326/795] 603648.SH: fetched=36, saved=36, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:55,833 [INFO] __main__: [327/795] 603656.SH: fetched=24, saved=24, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:21:56,510 [INFO] __main__: [328/795] 603657.SH: fetched=24, saved=24, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:22:04,482 [INFO] __main__: [329/795] 603659.SH: fetched=357, saved=110, filtered=8, err=0 | 进度: 69只/分, 预计剩余: 7分
2026-08-11 16:22:05,306 [INFO] __main__: [330/795] 603660.SH: fetched=64, saved=64, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 7分
2026-08-11 16:22:07,896 [INFO] __main__: [331/795] 603662.SH: fetched=588, saved=132, filtered=2, err=0 | 进度: 68只/分, 预计剩余: 7分
2026-08-11 16:22:07,995 [INFO] __main__: [332/795] 603665.SH: fetched=16, saved=14, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 7分
2026-08-11 16:22:08,089 [INFO] __main__: [333/795] 603666.SH: fetched=121, saved=17, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 7分
2026-08-11 16:22:08,168 [INFO] __main__: [334/795] 603667.SH: fetched=19, saved=19, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 7分
2026-08-11 16:22:08,316 [INFO] __main__: [335/795] 603677.SH: fetched=30, saved=30, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 7分
2026-08-11 16:22:08,673 [INFO] __main__: [336/795] 603678.SH: fetched=78, saved=68, filtered=10, err=0 | 进度: 69只/分, 预计剩余: 7分
2026-08-11 16:22:08,790 [INFO] __main__: [337/795] 603679.SH: fetched=102, saved=73, filtered=29, err=0 | 进度: 69只/分, 预计剩余: 7分
2026-08-11 16:22:09,061 [INFO] __main__: [338/795] 603683.SH: fetched=340, saved=55, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 7分
2026-08-11 16:22:09,449 [INFO] __main__: [339/795] 603686.SH: fetched=554, saved=72, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 7分
2026-08-11 16:22:09,654 [INFO] __main__: [340/795] 603687.SH: fetched=25, saved=25, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:22:09,853 [INFO] __main__: [341/795] 603690.SH: fetched=121, saved=105, filtered=16, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:22:10,787 [INFO] __main__: [342/795] 603698.SH: fetched=858, saved=56, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 7分
2026-08-11 16:22:10,875 [INFO] __main__: [343/795] 603701.SH: fetched=31, saved=31, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 6分
2026-08-11 16:22:11,187 [INFO] __main__: [344/795] 603703.SH: fetched=511, saved=122, filtered=2, err=0 | 进度: 70只/分, 预计剩余: 6分
2026-08-11 16:22:12,241 [INFO] __main__: [345/795] 603712.SH: fetched=72, saved=71, filtered=1, err=0 | 进度: 70只/分, 预计剩余: 6分
