2026-08-11 16:19:50,012 [INFO] __main__: [170/795] 601992.SH: fetched=230, saved=119, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 9分
2026-08-11 16:19:50,726 [INFO] __main__: [171/795] 603004.SH: fetched=260, saved=126, filtered=6, err=0 | 进度: 67只/分, 预计剩余: 9分
2026-08-11 16:19:51,518 [INFO] __main__: [172/795] 603005.SH: fetched=1000, saved=15, filtered=121, err=0 | 进度: 67只/分, 预计剩余: 9分
2026-08-11 16:19:53,125 [INFO] __main__: [173/795] 603007.SH: fetched=486, saved=215, filtered=5, err=0 | 进度: 66只/分, 预计剩余: 9分
2026-08-11 16:19:54,439 [INFO] __main__: [174/795] 603010.SH: fetched=460, saved=45, filtered=148, err=0 | 进度: 66只/分, 预计剩余: 9分
2026-08-11 16:19:55,010 [INFO] __main__: [175/795] 603011.SH: fetched=86, saved=73, filtered=13, err=0 | 进度: 66只/分, 预计剩余: 9分
2026-08-11 16:19:56,078 [INFO] __main__: [176/795] 603015.SH: fetched=409, saved=42, filtered=112, err=0 | 进度: 66只/分, 预计剩余: 9分
2026-08-11 16:19:56,849 [INFO] __main__: [177/795] 603017.SH: fetched=10, saved=5, filtered=5, err=0 | 进度: 66只/分, 预计剩余: 9分
2026-08-11 16:19:57,479 [INFO] __main__: [178/795] 603018.SH: fetched=31, saved=17, filtered=14, err=0 | 进度: 66只/分, 预计剩余: 9分
2026-08-11 16:19:58,308 [INFO] __main__: [179/795] 603025.SH: fetched=56, saved=56, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 9分
2026-08-11 16:19:58,964 [INFO] __main__: [180/795] 603026.SH: fetched=19, saved=19, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 9分
2026-08-11 16:20:04,781 [INFO] __main__: [182/795] 603031.SH: fetched=1000, saved=73, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 9分
2026-08-11 16:20:05,212 [INFO] __main__: [183/795] 603032.SH: fetched=535, saved=45, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 9分
2026-08-11 16:20:07,085 [INFO] __main__: [184/795] 603037.SH: fetched=24, saved=24, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 9分
2026-08-11 16:20:08,021 [INFO] __main__: [185/795] 603040.SH: fetched=110, saved=21, filtered=3, err=0 | 进度: 65只/分, 预计剩余: 9分
2026-08-11 16:20:08,237 [INFO] __main__: [186/795] 603051.SH: fetched=114, saved=114, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 9分
2026-08-11 16:20:08,666 [INFO] __main__: [187/795] 603052.SH: fetched=32, saved=32, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 9分
2026-08-11 16:20:08,806 [INFO] __main__: [188/795] 603060.SH: fetched=56, saved=47, filtered=9, err=0 | 进度: 65只/分, 预计剩余: 9分
