2026-08-11 15:29:42,285 [WARNING] __main__: 000795.SZ 触发频率限制，等待 4s 后重试 (attempt 2/3)
2026-08-11 15:29:46,582 [WARNING] __main__: 000795.SZ 触发频率限制，等待 8s 后重试 (attempt 3/3)
2026-08-11 15:29:54,584 [INFO] __main__:   [限速] 已达 90 次/分钟上限，暂停 18s
2026-08-11 15:30:12,319 [INFO] __main__: [90/2280] 000800.SZ: fetched=788, saved=788, filtered=0, err=0 | 进度: 90只/分, 预计剩余: 24分
2026-08-11 15:30:12,453 [INFO] __main__: [91/2280] 000801.SZ: fetched=282, saved=280, filtered=2, err=0 | 进度: 91只/分, 预计剩余: 24分
2026-08-11 15:30:12,549 [INFO] __main__: [92/2280] 000811.SZ: fetched=248, saved=205, filtered=43, err=0 | 进度: 92只/分, 预计剩余: 24分
2026-08-11 15:30:12,690 [INFO] __main__: [93/2280] 000818.SZ: fetched=344, saved=344, filtered=0, err=0 | 进度: 93只/分, 预计剩余: 24分
2026-08-11 15:30:12,823 [INFO] __main__: [94/2280] 000819.SZ: fetched=193, saved=193, filtered=0, err=0 | 进度: 94只/分, 预计剩余: 23分
2026-08-11 15:30:12,919 [INFO] __main__: [95/2280] 000821.SZ: fetched=227, saved=227, filtered=0, err=0 | 进度: 95只/分, 预计剩余: 23分
2026-08-11 15:30:13,002 [INFO] __main__: [96/2280] 000823.SZ: fetched=330, saved=284, filtered=46, err=0 | 进度: 96只/分, 预计剩余: 23分
2026-08-11 15:30:13,104 [INFO] __main__: [97/2280] 000825.SZ: fetched=39, saved=37, filtered=2, err=0 | 进度: 95只/分, 预计剩余: 23分
2026-08-11 15:30:13,179 [INFO] __main__: [98/2280] 000826.SZ: fetched=176, saved=176, filtered=0, err=0 | 进度: 96只/分, 预计剩余: 23分
2026-08-11 15:30:13,287 [INFO] __main__: [99/2280] 000833.SZ: fetched=258, saved=209, filtered=49, err=0 | 进度: 97只/分, 预计剩余: 22分
2026-08-11 15:30:13,379 [INFO] __main__: [100/2280] 000837.SZ: fetched=170, saved=156, filtered=14, err=0 | 进度: 98只/分, 预计剩余: 22分
2026-08-11 15:30:13,457 [INFO] __main__: [101/2280] 000856.SZ: fetched=27, saved=20, filtered=7, err=0 | 进度: 99只/分, 预计剩余: 22分
2026-08-11 15:30:13,647 [INFO] __main__: [102/2280] 000875.SZ: fetched=608, saved=396, filtered=212, err=0 | 进度: 100只/分, 预计剩余: 22分
2026-08-11 15:30:13,726 [WARNING] __main__: 000881.SZ 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 15:30:15,800 [INFO] __main__: [103/2280] 000881.SZ: fetched=32, saved=32, filtered=0, err=0 | 进度: 98只/分, 预计剩余: 22分
2026-08-11 15:30:15,948 [INFO] __main__: [104/2280] 000887.SZ: fetched=428, saved=351, filtered=77, err=0 | 进度: 99只/分, 预计剩余: 22分
2026-08-11 15:30:16,115 [INFO] __main__: [105/2280] 000901.SZ: fetched=206, saved=205, filtered=1, err=0 | 进度: 98只/分, 预计剩余: 22分
2026-08-11 15:30:16,173 [INFO] __main__: [106/2280] 000902.SZ: fetched=43, saved=43, filtered=0, err=0 | 进度: 99只/分, 预计剩余: 22分
2026-08-11 15:30:16,256 [INFO] __main__: [107/2280] 000903.SZ: fetched=248, saved=166, filtered=82, err=0 | 进度: 100只/分, 预计剩余: 22分
2026-08-11 15:30:16,302 [WARNING] __main__: 000910.SZ 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 15:30:19,169 [INFO] __main__: [108/2280] 000910.SZ: fetched=149, saved=117, filtered=32, err=0 | 进度: 97只/分, 预计剩余: 22分
2026-08-11 15:30:19,297 [INFO] __main__: [109/2280] 000913.SZ: fetched=194, saved=64, filtered=130, err=0 | 进度: 98只/分, 预计剩余: 22分
2026-08-11 15:30:19,447 [INFO] __main__: [110/2280] 000922.SZ: fetched=437, saved=437, filtered=0, err=0 | 进度: 99只/分, 预计剩余: 22分
2026-08-11 15:30:19,528 [WARNING] __main__: 000925.SZ 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 15:30:21,613 [INFO] __main__: [111/2280] 000925.SZ: fetched=71, saved=68, filtered=3, err=0 | 进度: 97只/分, 预计剩余: 22分
2026-08-11 15:30:21,762 [INFO] __main__: [112/2280] 000927.SZ: fetched=372, saved=239, filtered=133, err=0 | 进度: 97只/分, 预计剩余: 22分
2026-08-11 15:30:24,710 [INFO] __main__: [113/2280] 000932.SZ: fetched=1000, saved=915, filtered=85, err=0 | 进度: 94只/分, 预计剩余: 23分
2026-08-11 15:30:24,824 [INFO] __main__: [114/2280] 000933.SZ: fetched=338, saved=230, filtered=108, err=0 | 进度: 95只/分, 预计剩余: 23分
2026-08-11 15:30:24,974 [INFO] __main__: [115/2280] 000938.SZ: fetched=1000, saved=893, filtered=107, err=0 | 进度: 96只/分, 预计剩余: 23分
2026-08-11 15:30:25,043 [INFO] __main__: [116/2280] 000948.SZ: fetched=84, saved=65, filtered=19, err=0 | 进度: 95只/分, 预计剩余: 23分
2026-08-11 15:30:25,114 [INFO] __main__: [117/2280] 000950.SZ: fetched=125, saved=83, filtered=42, err=0 | 进度: 96只/分, 预计剩余: 22分
2026-08-11 15:30:25,217 [INFO] __main__: [118/2280] 000959.SZ: fetched=221, saved=207, filtered=14, err=0 | 进度: 97只/分, 预计剩余: 22分
2026-08-11 15:30:25,328 [INFO] __main__: [119/2280] 000962.SZ: fetched=636, saved=558, filtered=78, err=0 | 进度: 98只/分, 预计剩余: 22分
2026-08-11 15:30:25,389 [WARNING] __main__: 000967.SZ 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 15:30:27,511 [INFO] __main__: [120/2280] 000967.SZ: fetched=150, saved=92, filtered=58, err=0 | 进度: 96只/分, 预计剩余: 22分
2026-08-11 15:30:27,683 [INFO] __main__: [121/2280] 000969.SZ: fetched=304, saved=285, filtered=19, err=0 | 进度: 97只/分, 预计剩余: 22分
2026-08-11 15:30:27,863 [INFO] __main__: [122/2280] 000970.SZ: fetched=170, saved=71, filtered=99, err=0 | 进度: 98只/分, 预计剩余: 22分
2026-08-11 15:30:27,955 [INFO] __main__: [123/2280] 000973.SZ: fetched=207, saved=99, filtered=108, err=0 | 进度: 98只/分, 预计剩余: 22分
2026-08-11 15:30:28,105 [INFO] __main__: [124/2280] 000988.SZ: fetched=915, saved=915, filtered=0, err=0 | 进度: 98只/分, 预计剩余: 22分
2026-08-11 15:30:28,291 [INFO] __main__: [125/2280] 001203.SZ: fetched=245, saved=245, filtered=0, err=0 | 进度: 99只/分, 预计剩余: 22分
2026-08-11 15:30:28,389 [INFO] __main__: [126/2280] 001208.SZ: fetched=108, saved=107, filtered=1, err=0 | 进度: 99只/分, 预计剩余: 22分
2026-08-11 15:30:28,439 [INFO] __main__: [127/2280] 001223.SZ: fetched=37, saved=37, filtered=0, err=0 | 进度: 100只/分, 预计剩余: 21分
2026-08-11 15:30:28,529 [INFO] __main__: [128/2280] 001229.SZ: fetched=138, saved=138, filtered=0, err=0 | 进度: 101只/分, 预计剩余: 21分
2026-08-11 15:30:28,578 [INFO] __main__: [129/2280] 001230.SZ: fetched=26, saved=26, filtered=0, err=0 | 进度: 102只/分, 预计剩余: 21分
2026-08-11 15:30:28,661 [INFO] __main__: [130/2280] 001232.SZ: fetched=51, saved=44, filtered=7, err=0 | 进度: 103只/分, 预计剩余: 21分
2026-08-11 15:30:28,725 [INFO] __main__: [131/2280] 001239.SZ: fetched=40, saved=38, filtered=2, err=0 | 进度: 103只/分, 预计剩余: 21分
2026-08-11 15:30:28,807 [INFO] __main__: [132/2280] 001255.SZ: fetched=38, saved=14, filtered=24, err=0 | 进度: 104只/分, 预计剩余: 21分
2026-08-11 15:30:28,877 [INFO] __main__: [133/2280] 001266.SZ: fetched=56, saved=56, filtered=0, err=0 | 进度: 105只/分, 预计剩余: 20分
2026-08-11 15:30:28,979 [INFO] __main__: [134/2280] 001267.SZ: fetched=412, saved=411, filtered=1, err=0 | 进度: 106只/分, 预计剩余: 20分
2026-08-11 15:30:29,069 [WARNING] __main__: 001270.SZ 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 15:30:31,171 [INFO] __main__: [135/2280] 001270.SZ: fetched=301, saved=263, filtered=38, err=0 | 进度: 103只/分, 预计剩余: 21分
2026-08-11 15:30:31,252 [INFO] __main__: [136/2280] 001280.SZ: fetched=150, saved=150, filtered=0, err=0 | 进度: 103只/分, 预计剩余: 21分
2026-08-11 15:30:31,324 [INFO] __main__: [137/2280] 001282.SZ: fetched=153, saved=153, filtered=0, err=0 | 进度: 104只/分, 预计剩余: 21分
2026-08-11 15:30:31,479 [INFO] __main__: [138/2280] 001283.SZ: fetched=240, saved=239, filtered=1, err=0 | 进度: 105只/分, 预计剩余: 20分
2026-08-11 15:30:31,589 [INFO] __main__: [139/2280] 001287.SZ: fetched=383, saved=247, filtered=136, err=0 | 进度: 106只/分, 预计剩余: 20分
2026-08-11 15:30:31,736 [INFO] __main__: [140/2280] 001288.SZ: fetched=36, saved=36, filtered=0, err=0 | 进度: 106只/分, 预计剩余: 20分
2026-08-11 15:30:31,801 [INFO] __main__: [141/2280] 001296.SZ: fetched=111, saved=31, filtered=80, err=0 | 进度: 107只/分, 预计剩余: 20分
2026-08-11 15:30:31,849 [INFO] __main__: [142/2280] 001298.SZ: fetched=43, saved=25, filtered=18, err=0 | 进度: 108只/分, 预计剩余: 20分
2026-08-11 15:30:31,912 [INFO] __main__: [143/2280] 001301.SZ: fetched=77, saved=77, filtered=0, err=0 | 进度: 109只/分, 预计剩余: 20分
2026-08-11 15:30:31,969 [INFO] __main__: [144/2280] 001306.SZ: fetched=33, saved=33, filtered=0, err=0 | 进度: 109只/分, 预计剩余: 20分
2026-08-11 15:30:32,071 [INFO] __main__: [145/2280] 001309.SZ: fetched=339, saved=228, filtered=111, err=0 | 进度: 109只/分, 预计剩余: 20分
2026-08-11 15:30:32,171 [INFO] __main__: [146/2280] 001311.SZ: fetched=149, saved=67, filtered=82, err=0 | 进度: 110只/分, 预计剩余: 19分
2026-08-11 15:30:32,264 [INFO] __main__: [147/2280] 001314.SZ: fetched=271, saved=271, filtered=0, err=0 | 进度: 110只/分, 预计剩余: 19分
2026-08-11 15:30:32,355 [INFO] __main__: [148/2280] 001316.SZ: fetched=51, saved=51, filtered=0, err=0 | 进度: 111只/分, 预计剩余: 19分
2026-08-11 15:30:32,469 [INFO] __main__: [149/2280] 001319.SZ: fetched=40, saved=39, filtered=1, err=0 | 进度: 112只/分, 预计剩余: 19分
2026-08-11 15:30:32,515 [INFO] __main__: [150/2280] 001324.SZ: fetched=58, saved=6, filtered=52, err=0 | 进度: 112只/分, 预计剩余: 19分
2026-08-11 15:30:32,571 [INFO] __main__: [151/2280] 001339.SZ: fetched=112, saved=111, filtered=1, err=0 | 进度: 113只/分, 预计剩余: 19分
2026-08-11 15:30:32,617 [INFO] __main__: [152/2280] 001360.SZ: fetched=33, saved=33, filtered=0, err=0 | 进度: 114只/分, 预计剩余: 19分
2026-08-11 15:30:32,682 [INFO] __main__: [153/2280] 001365.SZ: fetched=86, saved=86, filtered=0, err=0 | 进度: 115只/分, 预计剩余: 19分
2026-08-11 15:30:32,863 [INFO] __main__: [154/2280] 001369.SZ: fetched=157, saved=157, filtered=0, err=0 | 进度: 116只/分, 预计剩余: 18分
2026-08-11 15:30:32,942 [INFO] __main__: [155/2280] 001378.SZ: fetched=113, saved=61, filtered=52, err=0 | 进度: 116只/分, 预计剩余: 18分
2026-08-11 15:30:33,001 [INFO] __main__: [156/2280] 001379.SZ: fetched=87, saved=87, filtered=0, err=0 | 进度: 117只/分, 预计剩余: 18分
2026-08-11 15:30:33,069 [INFO] __main__: [157/2280] 001380.SZ: fetched=228, saved=226, filtered=2, err=0 | 进度: 116只/分, 预计剩余: 18分
2026-08-11 15:30:33,189 [INFO] __main__: [158/2280] 001382.SZ: fetched=228, saved=228, filtered=0, err=0 | 进度: 117只/分, 预计剩余: 18分
2026-08-11 15:30:33,258 [INFO] __main__: [159/2280] 001388.SZ: fetched=91, saved=91, filtered=0, err=0 | 进度: 118只/分, 预计剩余: 18分
2026-08-11 15:30:33,315 [INFO] __main__: [160/2280] 001389.SZ: fetched=99, saved=99, filtered=0, err=0 | 进度: 119只/分, 预计剩余: 18分
2026-08-11 15:30:33,412 [INFO] __main__: [161/2280] 001400.SZ: fetched=95, saved=89, filtered=6, err=0 | 进度: 119只/分, 预计剩余: 18分
2026-08-11 15:30:33,583 [INFO] __main__: [162/2280] 001696.SZ: fetched=210, saved=166, filtered=44, err=0 | 进度: 120只/分, 预计剩余: 18分
2026-08-11 15:30:33,711 [INFO] __main__: [163/2280] 002001.SZ: fetched=209, saved=209, filtered=0, err=0 | 进度: 121只/分, 预计剩余: 18分
2026-08-11 15:30:34,067 [INFO] __main__: [164/2280] 002006.SZ: fetched=114, saved=114, filtered=0, err=0 | 进度: 120只/分, 预计剩余: 18分
2026-08-11 15:30:34,169 [INFO] __main__: [165/2280] 002008.SZ: fetched=109, saved=107, filtered=2, err=0 | 进度: 121只/分, 预计剩余: 18分
2026-08-11 15:30:35,461 [INFO] __main__: [166/2280] 002009.SZ: fetched=157, saved=156, filtered=1, err=0 | 进度: 120只/分, 预计剩余: 18分
2026-08-11 15:30:35,575 [INFO] __main__: [167/2280] 002010.SZ: fetched=64, saved=62, filtered=2, err=0 | 进度: 121只/分, 预计剩余: 18分
2026-08-11 15:30:35,688 [INFO] __main__: [168/2280] 002011.SZ: fetched=139, saved=128, filtered=11, err=0 | 进度: 121只/分, 预计剩余: 17分
2026-08-11 15:30:36,195 [INFO] __main__: [169/2280] 002015.SZ: fetched=290, saved=290, filtered=0, err=0 | 进度: 121只/分, 预计剩余: 17分
2026-08-11 15:30:36,254 [INFO] __main__: [170/2280] 002021.SZ: fetched=72, saved=72, filtered=0, err=0 | 进度: 121只/分, 预计剩余: 17分
2026-08-11 15:30:36,401 [INFO] __main__: [171/2280] 002023.SZ: fetched=354, saved=352, filtered=2, err=0 | 进度: 122只/分, 预计剩余: 17分
2026-08-11 15:30:36,479 [INFO] __main__: [172/2280] 002025.SZ: fetched=230, saved=229, filtered=1, err=0 | 进度: 123只/分, 预计剩余: 17分
2026-08-11 15:30:36,563 [INFO] __main__: [173/2280] 002026.SZ: fetched=140, saved=140, filtered=0, err=0 | 进度: 124只/分, 预计剩余: 17分
2026-08-11 15:30:36,670 [INFO] __main__: [174/2280] 002031.SZ: fetched=191, saved=177, filtered=14, err=0 | 进度: 124只/分, 预计剩余: 17分
2026-08-11 15:30:36,801 [INFO] __main__: [175/2280] 002036.SZ: fetched=721, saved=647, filtered=74, err=0 | 进度: 125只/分, 预计剩余: 17分
2026-08-11 15:30:36,868 [INFO] __main__: [176/2280] 002045.SZ: fetched=154, saved=138, filtered=16, err=0 | 进度: 126只/分, 预计剩余: 17分
