2026-08-11 16:07:41,525 [INFO] __main__: [31/1439] 300353.SZ: fetched=356, saved=337, filtered=16, err=0 | 进度: 62只/分, 预计剩余: 23分
2026-08-11 16:07:41,751 [INFO] __main__: [32/1439] 300354.SZ: fetched=270, saved=269, filtered=1, err=0 | 进度: 64只/分, 预计剩余: 22分
2026-08-11 16:07:42,225 [INFO] __main__: [33/1439] 300358.SZ: fetched=271, saved=240, filtered=29, err=0 | 进度: 64只/分, 预计剩余: 22分
2026-08-11 16:07:42,397 [INFO] __main__: [34/1439] 300366.SZ: fetched=183, saved=169, filtered=14, err=0 | 进度: 66只/分, 预计剩余: 21分
2026-08-11 16:07:42,519 [INFO] __main__: [35/1439] 300368.SZ: fetched=94, saved=68, filtered=26, err=0 | 进度: 68只/分, 预计剩余: 21分
2026-08-11 16:07:43,131 [INFO] __main__: [36/1439] 300370.SZ: fetched=155, saved=153, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 21分
2026-08-11 16:07:43,415 [INFO] __main__: [37/1439] 300373.SZ: fetched=342, saved=226, filtered=116, err=0 | 进度: 69只/分, 预计剩余: 20分
2026-08-11 16:07:43,604 [INFO] __main__: [38/1439] 300375.SZ: fetched=141, saved=139, filtered=1, err=0 | 进度: 71只/分, 预计剩余: 20分
2026-08-11 16:07:50,999 [INFO] __main__: [39/1439] 300376.SZ: fetched=83, saved=70, filtered=11, err=0 | 进度: 60只/分, 预计剩余: 23分
2026-08-11 16:07:51,136 [INFO] __main__: [40/1439] 300377.SZ: fetched=114, saved=100, filtered=14, err=0 | 进度: 60只/分, 预计剩余: 23分
2026-08-11 16:07:51,433 [INFO] __main__: [41/1439] 300382.SZ: fetched=73, saved=70, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 23分
2026-08-11 16:07:51,574 [INFO] __main__: [42/1439] 300384.SZ: fetched=105, saved=105, filtered=0, err=0 | 进度: 63只/分, 预计剩余: 22分
2026-08-11 16:07:54,669 [INFO] __main__: [43/1439] 300387.SZ: fetched=427, saved=426, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 23分
2026-08-11 16:07:54,847 [INFO] __main__: [44/1439] 300390.SZ: fetched=171, saved=171, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 23分
2026-08-11 16:07:58,236 [INFO] __main__: [45/1439] 300394.SZ: fetched=583, saved=475, filtered=104, err=0 | 进度: 57只/分, 预计剩余: 24分
2026-08-11 16:08:00,448 [INFO] __main__: [46/1439] 300397.SZ: fetched=164, saved=108, filtered=53, err=0 | 进度: 56只/分, 预计剩余: 25分
2026-08-11 16:08:01,823 [INFO] __main__: [47/1439] 300402.SZ: fetched=150, saved=150, filtered=0, err=0 | 进度: 56只/分, 预计剩余: 25分
2026-08-11 16:08:02,918 [INFO] __main__: [48/1439] 300403.SZ: fetched=273, saved=169, filtered=104, err=0 | 进度: 56只/分, 预计剩余: 25分
2026-08-11 16:08:03,765 [INFO] __main__: [49/1439] 300405.SZ: fetched=71, saved=68, filtered=0, err=0 | 进度: 57只/分, 预计剩余: 25分
2026-08-11 16:08:04,445 [INFO] __main__: [50/1439] 300407.SZ: fetched=103, saved=103, filtered=0, err=0 | 进度: 57只/分, 预计剩余: 25分
2026-08-11 16:08:05,564 [INFO] __main__: [51/1439] 300408.SZ: fetched=150, saved=123, filtered=27, err=0 | 进度: 57只/分, 预计剩余: 24分
2026-08-11 16:08:08,147 [INFO] __main__: [52/1439] 300409.SZ: fetched=467, saved=460, filtered=0, err=0 | 进度: 55只/分, 预计剩余: 25分
2026-08-11 16:08:09,474 [INFO] __main__: [53/1439] 300410.SZ: fetched=178, saved=178, filtered=0, err=0 | 进度: 55只/分, 预计剩余: 25分
2026-08-11 16:08:11,531 [INFO] __main__: [54/1439] 300411.SZ: fetched=238, saved=234, filtered=2, err=0 | 进度: 54只/分, 预计剩余: 26分
2026-08-11 16:08:12,264 [INFO] __main__: [55/1439] 300412.SZ: fetched=113, saved=44, filtered=65, err=0 | 进度: 54只/分, 预计剩余: 26分
2026-08-11 16:08:13,127 [INFO] __main__: [56/1439] 300413.SZ: fetched=193, saved=191, filtered=0, err=0 | 进度: 54只/分, 预计剩余: 26分
2026-08-11 16:08:13,196 [INFO] __main__: [57/1439] 300414.SZ: fetched=34, saved=33, filtered=1, err=0 | 进度: 55只/分, 预计剩余: 25分
2026-08-11 16:08:15,213 [INFO] __main__: [58/1439] 300415.SZ: fetched=944, saved=938, filtered=1, err=0 | 进度: 54只/分, 预计剩余: 25分
2026-08-11 16:08:18,375 [INFO] __main__: [59/1439] 300416.SZ: fetched=224, saved=205, filtered=17, err=0 | 进度: 53只/分, 预计剩余: 26分
2026-08-11 16:08:18,490 [INFO] __main__: [60/1439] 300419.SZ: fetched=83, saved=69, filtered=14, err=0 | 进度: 54只/分, 预计剩余: 26分
2026-08-11 16:08:18,587 [INFO] __main__: [61/1439] 300420.SZ: fetched=56, saved=56, filtered=0, err=0 | 进度: 55只/分, 预计剩余: 25分
2026-08-11 16:08:19,298 [INFO] __main__: [62/1439] 300421.SZ: fetched=308, saved=207, filtered=100, err=0 | 进度: 55只/分, 预计剩余: 25分
2026-08-11 16:08:19,444 [INFO] __main__: [63/1439] 300422.SZ: fetched=33, saved=28, filtered=5, err=0 | 进度: 56只/分, 预计剩余: 25分
2026-08-11 16:08:19,525 [INFO] __main__: [64/1439] 300423.SZ: fetched=13, saved=7, filtered=6, err=0 | 进度: 56只/分, 预计剩余: 24分
2026-08-11 16:08:19,918 [INFO] __main__: [65/1439] 300424.SZ: fetched=80, saved=79, filtered=0, err=0 | 进度: 57只/分, 预计剩余: 24分
