2026-08-11 16:11:53,350 [INFO] __main__: [280/1439] 300846.SZ: fetched=377, saved=376, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 19分
2026-08-11 16:11:54,274 [INFO] __main__: [281/1439] 300847.SZ: fetched=167, saved=26, filtered=140, err=0 | 进度: 60只/分, 预计剩余: 19分
2026-08-11 16:11:54,546 [INFO] __main__: [282/1439] 300852.SZ: fetched=221, saved=220, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 19分
2026-08-11 16:11:54,744 [INFO] __main__: [283/1439] 300853.SZ: fetched=187, saved=186, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 19分
2026-08-11 16:11:54,864 [INFO] __main__: [284/1439] 300855.SZ: fetched=164, saved=42, filtered=122, err=0 | 进度: 60只/分, 预计剩余: 19分
2026-08-11 16:11:56,574 [INFO] __main__: [285/1439] 300857.SZ: fetched=740, saved=700, filtered=34, err=0 | 进度: 60只/分, 预计剩余: 19分
2026-08-11 16:11:56,731 [INFO] __main__: [286/1439] 300862.SZ: fetched=104, saved=47, filtered=57, err=0 | 进度: 60只/分, 预计剩余: 19分
2026-08-11 16:11:56,968 [INFO] __main__: [287/1439] 300863.SZ: fetched=50, saved=50, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 19分
2026-08-11 16:11:58,445 [INFO] __main__: [288/1439] 300866.SZ: fetched=56, saved=48, filtered=8, err=0 | 进度: 60只/分, 预计剩余: 19分
2026-08-11 16:11:58,524 [INFO] __main__: [289/1439] 300873.SZ: fetched=46, saved=46, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 19分
2026-08-11 16:11:58,747 [INFO] __main__: [290/1439] 300875.SZ: fetched=45, saved=43, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 19分
2026-08-11 16:12:00,150 [INFO] __main__: [291/1439] 300879.SZ: fetched=191, saved=190, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 19分
2026-08-11 16:12:01,496 [INFO] __main__: [292/1439] 300884.SZ: fetched=102, saved=102, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 19分
