2026-08-11 16:17:45,619 [INFO] __main__: [40/795] 600602.SH: fetched=108, saved=107, filtered=1, err=0 | 进度: 83只/分, 预计剩余: 9分
2026-08-11 16:17:46,693 [INFO] __main__: [41/795] 600615.SH: fetched=28, saved=25, filtered=3, err=0 | 进度: 82只/分, 预计剩余: 9分
2026-08-11 16:17:46,804 [INFO] __main__: [42/795] 600623.SH: fetched=79, saved=69, filtered=10, err=0 | 进度: 81只/分, 预计剩余: 9分
2026-08-11 16:17:47,626 [INFO] __main__: [43/795] 600640.SH: fetched=302, saved=65, filtered=26, err=0 | 进度: 83只/分, 预计剩余: 9分
2026-08-11 16:17:47,699 [INFO] __main__: [44/795] 600641.SH: fetched=34, saved=34, filtered=0, err=0 | 进度: 85只/分, 预计剩余: 9分
2026-08-11 16:17:48,696 [INFO] __main__: [45/795] 600673.SH: fetched=61, saved=60, filtered=0, err=0 | 进度: 84只/分, 预计剩余: 9分
2026-08-11 16:17:49,415 [INFO] __main__: [46/795] 600678.SH: fetched=41, saved=40, filtered=0, err=0 | 进度: 84只/分, 预计剩余: 9分
2026-08-11 16:17:49,484 [INFO] __main__: [47/795] 600681.SH: fetched=3, saved=2, filtered=1, err=0 | 进度: 85只/分, 预计剩余: 9分
2026-08-11 16:17:50,369 [INFO] __main__: [48/795] 600682.SH: fetched=14, saved=14, filtered=0, err=0 | 进度: 85只/分, 预计剩余: 9分
2026-08-11 16:17:51,440 [INFO] __main__: [49/795] 600685.SH: fetched=93, saved=85, filtered=8, err=0 | 进度: 84只/分, 预计剩余: 9分
2026-08-11 16:17:52,369 [INFO] __main__: [50/795] 600690.SH: fetched=167, saved=163, filtered=4, err=0 | 进度: 83只/分, 预计剩余: 9分
2026-08-11 16:17:53,388 [INFO] __main__: [51/795] 600691.SH: fetched=57, saved=57, filtered=0, err=0 | 进度: 83只/分, 预计剩余: 9分
2026-08-11 16:17:53,599 [INFO] __main__: [52/795] 600699.SH: fetched=206, saved=52, filtered=4, err=0 | 进度: 84只/分, 预计剩余: 9分
2026-08-11 16:17:58,253 [INFO] __main__: [53/795] 600703.SH: fetched=1000, saved=902, filtered=97, err=0 | 进度: 76只/分, 预计剩余: 10分
2026-08-11 16:17:58,585 [INFO] __main__: [54/795] 600704.SH: fetched=534, saved=159, filtered=27, err=0 | 进度: 77只/分, 预计剩余: 10分
2026-08-11 16:18:00,345 [INFO] __main__: [55/795] 600710.SH: fetched=36, saved=35, filtered=1, err=0 | 进度: 75只/分, 预计剩余: 10分
2026-08-11 16:18:01,157 [INFO] __main__: [56/795] 600711.SH: fetched=243, saved=156, filtered=87, err=0 | 进度: 75只/分, 预计剩余: 10分
2026-08-11 16:18:01,889 [INFO] __main__: [57/795] 600718.SH: fetched=115, saved=26, filtered=1, err=0 | 进度: 74只/分, 预计剩余: 10分
2026-08-11 16:18:02,290 [INFO] __main__: [58/795] 600720.SH: fetched=642, saved=227, filtered=102, err=0 | 进度: 76只/分, 预计剩余: 10分
2026-08-11 16:18:02,453 [INFO] __main__: [59/795] 600729.SH: fetched=178, saved=53, filtered=22, err=0 | 进度: 77只/分, 预计剩余: 10分
