2026-08-11 15:38:56,002 [INFO] __main__: [370/2280] 002466.SZ: fetched=388, saved=387, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 33分
2026-08-11 15:38:57,161 [INFO] __main__: [371/2280] 002470.SZ: fetched=134, saved=103, filtered=30, err=0 | 进度: 58只/分, 预计剩余: 33分
2026-08-11 15:38:59,600 [INFO] __main__: [372/2280] 002471.SZ: fetched=431, saved=312, filtered=113, err=0 | 进度: 57只/分, 预计剩余: 33分
2026-08-11 15:38:59,793 [INFO] __main__: [373/2280] 002472.SZ: fetched=41, saved=40, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 33分
2026-08-11 15:38:59,857 [INFO] __main__: [374/2280] 002474.SZ: fetched=30, saved=24, filtered=5, err=0 | 进度: 58只/分, 预计剩余: 33分
2026-08-11 15:39:00,097 [INFO] __main__: [375/2280] 002475.SZ: fetched=399, saved=231, filtered=166, err=0 | 进度: 58只/分, 预计剩余: 33分
2026-08-11 15:39:00,239 [INFO] __main__: [376/2280] 002480.SZ: fetched=138, saved=53, filtered=85, err=0 | 进度: 58只/分, 预计剩余: 33分
2026-08-11 15:39:00,428 [INFO] __main__: [377/2280] 002484.SZ: fetched=131, saved=96, filtered=34, err=0 | 进度: 58只/分, 预计剩余: 33分
2026-08-11 15:39:01,075 [INFO] __main__: [378/2280] 002488.SZ: fetched=263, saved=174, filtered=88, err=0 | 进度: 58只/分, 预计剩余: 33分
2026-08-11 15:39:01,203 [INFO] __main__: [379/2280] 002489.SZ: fetched=31, saved=22, filtered=8, err=0 | 进度: 58只/分, 预计剩余: 33分
2026-08-11 15:39:01,403 [INFO] __main__: [380/2280] 002497.SZ: fetched=283, saved=157, filtered=126, err=0 | 进度: 58只/分, 预计剩余: 33分
2026-08-11 15:39:02,555 [INFO] __main__: [381/2280] 002501.SZ: fetched=68, saved=28, filtered=40, err=0 | 进度: 58只/分, 预计剩余: 33分
